"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 14 20:53:57 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","2244","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Tue Feb 14 20:53:57 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","2117","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Tue Feb 14 20:53:59 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","207","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Tue Feb 14 20:53:59 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","225","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Tue Feb 14 20:53:57 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","1782","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Tue Feb 14 20:53:57 GMT 2023","Tue Feb 14 20:53:58 GMT 2023","1278","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Feb 14 20:53:58 GMT 2023","Tue Feb 14 20:53:58 GMT 2023","272","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Feb 14 20:53:58 GMT 2023","Tue Feb 14 20:53:58 GMT 2023","95","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Feb 14 20:53:59 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","124","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Tue Feb 14 20:53:57 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","2070","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Tue Feb 14 20:53:59 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","174","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Tue Feb 14 20:53:58 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","362","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Feb 14 20:53:58 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","746","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Feb 14 20:53:57 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","2184","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Tue Feb 14 20:53:59 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","495","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Tue Feb 14 20:53:59 GMT 2023","Tue Feb 14 20:53:59 GMT 2023","185","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Tue Feb 14 20:53:57 GMT 2023","Tue Feb 14 20:53:58 GMT 2023","871","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Feb 14 20:53:57 GMT 2023","Tue Feb 14 20:53:58 GMT 2023","1306","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
