"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:14 GMT 2023","138","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:14 GMT 2023","379","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","212","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:14 GMT 2023","408","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","78","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:14 GMT 2023","142","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 23:17:12 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","1258","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 23:17:12 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","1390","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 23:17:12 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","1611","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","652","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","125","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","301","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","215","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 23:17:12 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","1289","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Sat Dec 02 23:17:12 GMT 2023","Sat Dec 02 23:17:12 GMT 2023","560","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 23:17:12 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","233","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Sat Dec 02 23:17:13 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","105","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Sat Dec 02 23:17:12 GMT 2023","Sat Dec 02 23:17:13 GMT 2023","791","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
