"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 12 09:34:47 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","198","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Mar 12 09:34:47 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","107","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sun Mar 12 09:34:46 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","643","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Mar 12 09:34:44 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","2112","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Sun Mar 12 09:34:47 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","115","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Mar 12 09:34:44 GMT 2023","Sun Mar 12 09:34:46 GMT 2023","1615","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Sun Mar 12 09:34:44 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","2054","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Sun Mar 12 09:34:46 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","92","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Mar 12 09:34:47 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","212","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Mar 12 09:34:44 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","2210","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Sun Mar 12 09:34:44 GMT 2023","Sun Mar 12 09:34:46 GMT 2023","1912","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Sun Mar 12 09:34:46 GMT 2023","Sun Mar 12 09:34:46 GMT 2023","144","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sun Mar 12 09:34:47 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","52","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sun Mar 12 09:34:44 GMT 2023","Sun Mar 12 09:34:46 GMT 2023","1264","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Mar 12 09:34:47 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","165","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun Mar 12 09:34:46 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","175","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sun Mar 12 09:34:44 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","2082","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Sun Mar 12 09:34:44 GMT 2023","Sun Mar 12 09:34:47 GMT 2023","2217","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
