"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 04 10:20:38 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","102","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Dec 04 10:20:38 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","194","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Dec 04 10:20:36 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","1706","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Mon Dec 04 10:20:37 GMT 2023","Mon Dec 04 10:20:37 GMT 2023","209","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Dec 04 10:20:38 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","133","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Dec 04 10:20:37 GMT 2023","Mon Dec 04 10:20:37 GMT 2023","132","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Dec 04 10:20:37 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","837","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Mon Dec 04 10:20:36 GMT 2023","Mon Dec 04 10:20:37 GMT 2023","834","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Dec 04 10:20:36 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","1881","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Dec 04 10:20:38 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","76","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Dec 04 10:20:36 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","1817","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Mon Dec 04 10:20:36 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","1721","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Dec 04 10:20:37 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","311","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Dec 04 10:20:36 GMT 2023","Mon Dec 04 10:20:37 GMT 2023","1119","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Mon Dec 04 10:20:36 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","2093","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Mon Dec 04 10:20:37 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","703","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Dec 04 10:20:36 GMT 2023","Mon Dec 04 10:20:37 GMT 2023","1055","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Dec 04 10:20:38 GMT 2023","Mon Dec 04 10:20:38 GMT 2023","80","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
