"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 15:48:10 GMT 2023","Wed Nov 29 15:48:11 GMT 2023","1426","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Wed Nov 29 15:48:11 GMT 2023","Wed Nov 29 15:48:11 GMT 2023","29","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:12 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","162","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:12 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","151","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:12 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","130","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:10 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","1827","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:10 GMT 2023","Wed Nov 29 15:48:11 GMT 2023","1297","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:11 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","493","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:12 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","154","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Wed Nov 29 15:48:11 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","492","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:12 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","76","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:12 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","173","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:12 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","157","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Nov 29 15:48:10 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","1728","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:10 GMT 2023","Wed Nov 29 15:48:11 GMT 2023","1034","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:10 GMT 2023","Wed Nov 29 15:48:11 GMT 2023","1387","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Wed Nov 29 15:48:12 GMT 2023","Wed Nov 29 15:48:12 GMT 2023","132","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Wed Nov 29 15:48:10 GMT 2023","Wed Nov 29 15:48:11 GMT 2023","767","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
