"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 28 15:54:50 GMT 2023","Sun May 28 15:54:50 GMT 2023","55","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sun May 28 15:54:48 GMT 2023","Sun May 28 15:54:49 GMT 2023","1326","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Sun May 28 15:54:48 GMT 2023","Sun May 28 15:54:49 GMT 2023","1750","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Sun May 28 15:54:48 GMT 2023","Sun May 28 15:54:49 GMT 2023","1747","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Sun May 28 15:54:50 GMT 2023","Sun May 28 15:54:50 GMT 2023","73","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun May 28 15:54:49 GMT 2023","Sun May 28 15:54:50 GMT 2023","109","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sun May 28 15:54:48 GMT 2023","Sun May 28 15:54:50 GMT 2023","1880","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Sun May 28 15:54:50 GMT 2023","Sun May 28 15:54:50 GMT 2023","167","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Sun May 28 15:54:50 GMT 2023","Sun May 28 15:54:50 GMT 2023","32","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun May 28 15:54:49 GMT 2023","Sun May 28 15:54:50 GMT 2023","554","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun May 28 15:54:50 GMT 2023","Sun May 28 15:54:50 GMT 2023","92","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Sun May 28 15:54:48 GMT 2023","Sun May 28 15:54:50 GMT 2023","1821","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Sun May 28 15:54:50 GMT 2023","Sun May 28 15:54:50 GMT 2023","138","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Sun May 28 15:54:48 GMT 2023","Sun May 28 15:54:49 GMT 2023","1645","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Sun May 28 15:54:48 GMT 2023","Sun May 28 15:54:49 GMT 2023","1096","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Sun May 28 15:54:49 GMT 2023","Sun May 28 15:54:49 GMT 2023","162","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Sun May 28 15:54:50 GMT 2023","Sun May 28 15:54:50 GMT 2023","75","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Sun May 28 15:54:48 GMT 2023","Sun May 28 15:54:50 GMT 2023","1791","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
