"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 14:42:35 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","113","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:42:32 GMT 2023","Mon Sep 11 14:42:34 GMT 2023","1723","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:42:35 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","96","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:42:34 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","160","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:42:32 GMT 2023","Mon Sep 11 14:42:34 GMT 2023","2199","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:42:34 GMT 2023","Mon Sep 11 14:42:34 GMT 2023","205","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:42:32 GMT 2023","Mon Sep 11 14:42:34 GMT 2023","2060","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:42:32 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","2339","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Sep 11 14:42:32 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","2464","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Sep 11 14:42:35 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","262","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:42:34 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","636","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:42:35 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","211","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:42:35 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","221","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:42:35 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","79","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:42:32 GMT 2023","Mon Sep 11 14:42:34 GMT 2023","1466","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:42:32 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","2298","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:42:32 GMT 2023","Mon Sep 11 14:42:35 GMT 2023","2433","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Mon Sep 11 14:42:34 GMT 2023","Mon Sep 11 14:42:34 GMT 2023","101","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
