"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","253","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","77","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","105","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","75","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Apr 27 01:40:42 GMT 2023","Thu Apr 27 01:40:43 GMT 2023","1305","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Apr 27 01:40:42 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","1973","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Thu Apr 27 01:40:42 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","2020","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Apr 27 01:40:42 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","1787","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","120","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Apr 27 01:40:42 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","1930","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","589","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Apr 27 01:40:42 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","1303","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Thu Apr 27 01:40:43 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","124","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","157","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Apr 27 01:40:42 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","1961","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","461","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Thu Apr 27 01:40:44 GMT 2023","Thu Apr 27 01:40:44 GMT 2023","184","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Apr 27 01:40:42 GMT 2023","Thu Apr 27 01:40:43 GMT 2023","965","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
