"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 23:46:54 GMT 2023","Thu Feb 09 23:46:55 GMT 2023","797","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","130","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 09 23:46:54 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","1904","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 09 23:46:54 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","2092","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:57 GMT 2023","180","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Thu Feb 09 23:46:54 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","1192","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","73","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:57 GMT 2023","53","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","147","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Thu Feb 09 23:46:55 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","281","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 09 23:46:54 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","1903","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","187","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","127","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","261","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:57 GMT 2023","247","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Thu Feb 09 23:46:54 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","1952","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Thu Feb 09 23:46:54 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","1683","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Thu Feb 09 23:46:56 GMT 2023","Thu Feb 09 23:46:56 GMT 2023","605","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
