"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","484","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Apr 08 19:59:55 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","1459","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Apr 08 19:59:55 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","1385","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Mon Apr 08 19:59:57 GMT 2024","Mon Apr 08 19:59:57 GMT 2024","84","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:57 GMT 2024","258","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Apr 08 19:59:55 GMT 2024","Mon Apr 08 19:59:57 GMT 2024","1655","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:57 GMT 2024","187","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","347","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Apr 08 19:59:57 GMT 2024","Mon Apr 08 19:59:57 GMT 2024","116","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","28","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Apr 08 19:59:55 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","1589","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:57 GMT 2024","242","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","54","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Apr 08 19:59:55 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","993","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:57 GMT 2024","96","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Mon Apr 08 19:59:55 GMT 2024","Mon Apr 08 19:59:57 GMT 2024","1714","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Mon Apr 08 19:59:56 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","140","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Apr 08 19:59:55 GMT 2024","Mon Apr 08 19:59:56 GMT 2024","863","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
