"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 24 14:43:00 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","497","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:01 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","104","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:00 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","115","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:42:58 GMT 2023","Fri Mar 24 14:43:00 GMT 2023","1924","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:01 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","23","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:01 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","66","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:42:58 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","2101","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:42:58 GMT 2023","Fri Mar 24 14:43:00 GMT 2023","1955","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Mar 24 14:42:58 GMT 2023","Fri Mar 24 14:43:00 GMT 2023","1238","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:01 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","69","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:00 GMT 2023","Fri Mar 24 14:43:00 GMT 2023","178","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:42:58 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","2102","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Mar 24 14:42:58 GMT 2023","Fri Mar 24 14:43:00 GMT 2023","1582","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:00 GMT 2023","Fri Mar 24 14:43:00 GMT 2023","114","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:01 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","111","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:42:58 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","2127","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:01 GMT 2023","Fri Mar 24 14:43:01 GMT 2023","99","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:42:58 GMT 2023","Fri Mar 24 14:43:00 GMT 2023","1966","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
