"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 24 14:43:20 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","1241","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:22 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","127","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:22 GMT 2023","Fri Mar 24 14:43:23 GMT 2023","805","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:22 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","250","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:22 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","510","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:20 GMT 2023","Fri Mar 24 14:43:23 GMT 2023","2149","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Mar 24 14:43:20 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","1228","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:22 GMT 2023","Fri Mar 24 14:43:23 GMT 2023","133","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:22 GMT 2023","Fri Mar 24 14:43:23 GMT 2023","927","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:20 GMT 2023","Fri Mar 24 14:43:23 GMT 2023","2108","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Fri Mar 24 14:43:22 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","136","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:20 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","1929","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:20 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","1197","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:20 GMT 2023","Fri Mar 24 14:43:23 GMT 2023","2232","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Mar 24 14:43:21 GMT 2023","Fri Mar 24 14:43:22 GMT 2023","364","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:22 GMT 2023","Fri Mar 24 14:43:23 GMT 2023","167","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Mar 24 14:43:20 GMT 2023","Fri Mar 24 14:43:21 GMT 2023","828","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Mar 24 14:43:23 GMT 2023","Fri Mar 24 14:43:23 GMT 2023","37","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
