"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","197","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:44:32 GMT 2023","Mon Sep 11 14:44:33 GMT 2023","1361","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:44:33 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","677","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:44:32 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","1988","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Sep 11 14:44:32 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","2206","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","137","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","133","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:44:32 GMT 2023","Mon Sep 11 14:44:33 GMT 2023","1692","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:44:32 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","2201","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","141","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:44:32 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","2143","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","11","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:44:32 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","2052","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","99","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","196","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","221","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Sep 11 14:44:34 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","179","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Sep 11 14:44:32 GMT 2023","Mon Sep 11 14:44:34 GMT 2023","2060","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
