"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","1398","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","562","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","1044","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","135","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","168","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","354","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","97","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:34 GMT 2023","850","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","1370","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","193","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","71","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","336","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","1455","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:34 GMT 2023","593","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","297","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","90","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Tue Nov 07 15:44:35 GMT 2023","Tue Nov 07 15:44:35 GMT 2023","668","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Tue Nov 07 15:44:34 GMT 2023","Tue Nov 07 15:44:34 GMT 2023","834","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
