"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 20 14:27:57 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","110","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:56 GMT 2023","80","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:56 GMT 2023","565","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Dec 20 14:27:57 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","203","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:58 GMT 2023","1994","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Wed Dec 20 14:27:57 GMT 2023","Wed Dec 20 14:27:58 GMT 2023","205","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","1540","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Wed Dec 20 14:27:57 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","181","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","635","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","405","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Dec 20 14:27:57 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","539","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","549","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:56 GMT 2023","786","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Dec 20 14:27:57 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","266","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","1486","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:57 GMT 2023","645","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:56 GMT 2023","809","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Wed Dec 20 14:27:56 GMT 2023","Wed Dec 20 14:27:56 GMT 2023","902","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
