"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 11:12:35 GMT 2023","Mon Nov 27 11:12:36 GMT 2023","1037","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Mon Nov 27 11:12:37 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","73","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Nov 27 11:12:36 GMT 2023","Mon Nov 27 11:12:36 GMT 2023","154","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Nov 27 11:12:35 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","1723","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Mon Nov 27 11:12:36 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","726","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Mon Nov 27 11:12:35 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","1876","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Mon Nov 27 11:12:35 GMT 2023","Mon Nov 27 11:12:36 GMT 2023","1024","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Nov 27 11:12:35 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","1671","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Mon Nov 27 11:12:37 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","134","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Nov 27 11:12:36 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","193","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Nov 27 11:12:37 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","113","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Nov 27 11:12:35 GMT 2023","Mon Nov 27 11:12:36 GMT 2023","811","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Nov 27 11:12:36 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","670","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Mon Nov 27 11:12:37 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","134","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Mon Nov 27 11:12:37 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","64","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Nov 27 11:12:37 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","176","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Mon Nov 27 11:12:35 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","1650","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Mon Nov 27 11:12:35 GMT 2023","Mon Nov 27 11:12:37 GMT 2023","1730","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
